"id","code","name","date","status","substitute"
"account_italian_banks_abi_10602",10602,"CONSORZIO CRED.OPERE PUBBLICHE","2013-02-28",1,1025
"account_italian_banks_abi_10603",10603,"ISTITUTO DI CREDITO PER","2013-02-28",0,0
"account_italian_banks_abi_10610",10610,"BANCO DI NAPOLI","2013-02-28",0,0
"account_italian_banks_abi_10611",10611,"BANCO DI NAPOLI-SEZ.AUT.FINAN.OO.PP.","2013-02-28",0,0
"account_italian_banks_abi_10615",10615,"BANCO DI SICILIA","2013-02-28",0,0
"account_italian_banks_abi_10616",10616,"BANCO DI SICILIA","2013-02-28",0,0
"account_italian_banks_abi_10620",10620,"BNL SEZ.AUT.PER IL CRED.CINEMATOGR.","2013-02-28",0,0
"account_italian_banks_abi_10621",10621,"BNL SEZ.AUT.PER ESRC.CREDITO ALB.TUR","2013-02-28",0,0
"account_italian_banks_abi_10622",10622,"BNL SEZ.SPEC.PER IL CRED.INDUSTRIALE","2013-02-28",0,0
"account_italian_banks_abi_10623",10623,"COOPERCREDITO SPA","2013-02-28",1,1005
"account_italian_banks_abi_10625",10625,"BNL SEZ.AUT.PER IL CREDITO TEATRALE","2013-02-28",0,0
"account_italian_banks_abi_10628",10628,"IST.CRED.FONDIARIO PIEMONTE VALLE","2013-02-28",0,0
"account_italian_banks_abi_10630",10630,"IST. PER IL CREDITO SPORTIVO","2013-02-28",0,0
"account_italian_banks_abi_10631",10631,"MEDIOBANCA S.P.A.","2013-02-28",0,0
"account_italian_banks_abi_10632",10632,"EFIBANCA S.P.A.","2013-02-28",1,5034
"account_italian_banks_abi_10633",10633,"CENTROBANCA SPA","2013-02-28",0,0
"account_italian_banks_abi_10635",10635,"CARIPLO SEZ. AUT. FINANZIAM. OO.PP.","2013-02-28",0,0
"account_italian_banks_abi_10636",10636,"BANCA MEDIOCREDITO SPA","2013-02-28",0,0
"account_italian_banks_abi_10637",10637,"BANCA INTESA MEDIOCREDITO S.P.A.","2013-02-28",0,0
"account_italian_banks_abi_10638",10638,"MEDIOCREDITO TRENTINO ALTO ADIGE SPA","2013-02-28",0,0
"account_italian_banks_abi_10639",10639,"UNICREDITO GESTIONE CREDITI SPA","2013-02-28",0,0
"account_italian_banks_abi_10640",10640,"MEDIOCREDITO DEL FRIULI","2013-02-28",0,0
"account_italian_banks_abi_10642",10642,"IMER - MEDIOCREDITO EMILIA ROMAGNA","2013-02-28",1,10329
"account_italian_banks_abi_10643",10643,"MPS MERCHANT-BANCA PICCOLE MEDIE IMP","2013-02-28",0,0
"account_italian_banks_abi_10644",10644,"MEDIOCREDITO DELL'UMBRIA SPA","2013-02-28",1,6235
"account_italian_banks_abi_10646",10646,"MEDIOCREDITO DI ROMA SPA","2013-02-28",1,10680
"account_italian_banks_abi_10647",10647,"ISTITUTO PER LO SVILUPPO ECONOMICO","2013-02-28",0,0
"account_italian_banks_abi_10648",10648,"IRFIS MEDIOCREDITO SICILIA SPA","2013-02-28",0,0
"account_italian_banks_abi_10649",10649,"BANCA CIS SPA","2013-02-28",1,3059
"account_italian_banks_abi_10654",10654,"BANCO DI SICILIA - SEZ.AUT.FINANZ.","2013-02-28",0,0
"account_italian_banks_abi_10655",10655,"CREDITO FONDIARIO SPA","2013-02-28",0,0
"account_italian_banks_abi_10658",10658,"IST.CRED.FOND. DELLA LIGURIA","2013-02-28",0,0
"account_italian_banks_abi_10659",10659,"C.C.R. V.E. PROV.SICIL. SEZ.AUT.FIN.","2013-02-28",0,0
"account_italian_banks_abi_10662",10662,"ISTITUTO ITALIANO CREDITO FONDIARIO","2013-02-28",0,0
"account_italian_banks_abi_10680",10680,"MCC - MEDIOCREDITO CENTRALE S.P.A.","2013-02-28",0,0
"account_italian_banks_abi_10681",10681,"CASSA PER IL CRED.DELLE IMPR.ARTIG.","2013-02-28",0,0
"account_italian_banks_abi_10685",10685,"GE CAPITAL INTERBANCA SPA","2013-02-28",0,0
"account_italian_banks_abi_10689",10689,"MEDIOCREDITO DEL SUD SPA","2013-02-28",1,10637
"account_italian_banks_abi_10750",10750,"ISTITUTO MOBILIARE ITALIANO","2013-02-28",0,0
"account_italian_banks_abi_12431",12431,"S.I.A.- GESTIONE PROCEDURE RETE","2013-02-28",0,0
"account_italian_banks_abi_12928",12928,"S.S.B.-SOCIETA' PER SERVIZI BANCARI","2013-02-28",0,0
